,Country,Cities,Latitude,Longitude,Minimum temperature,Maximum temperature,Humidity,Cloudiness,Wind Speed
0,ZA,East London,-33.02,27.91,76.23,76.23,38,0,5.26
1,ZA,Kruisfontein,-34.0,24.73,60.22,60.22,69,1,10.02
2,US,Jamestown,42.1,-79.24,57.2,57.2,50,75,16.11
3,CA,Tuktoyaktuk,69.45,-133.04,6.8,6.8,92,40,12.75
4,EC,Palora,-1.7,-77.93,71.6,71.6,94,90,2.24
5,UZ,Yangi Marg`ilon,40.43,71.72,69.8,69.8,43,40,23.04
6,IN,Bārān,25.1,76.52,92.66,92.66,11,0,4.94
7,ID,Lhokseumawe,5.18,97.15,78.84,78.84,85,100,3.18
8,CL,Punta Arenas,-53.15,-70.92,48.0,48.2,87,75,10.29
9,BR,Cururupu,-1.83,-44.87,89.01,89.01,57,19,6.49
10,AU,Mount Isa,-20.73,139.5,57.2,57.2,30,52,4.7
11,RU,Zhigansk,66.77,123.37,16.0,16.0,93,7,6.02
12,ZA,Port Alfred,-33.59,26.89,66.99,66.99,66,0,4.0
13,GL,Tasiilaq,65.61,-37.64,33.8,33.8,64,20,5.82
14,RO,Ioneşti,44.85,24.23,60.8,64.0,63,87,16.11
15,AU,Alice Springs,-23.7,133.88,48.2,48.2,61,0,5.82
16,NZ,Mataura,-46.19,168.86,46.06,46.06,90,14,3.29
17,RU,Provideniya,64.38,-173.3,28.09,28.09,95,56,5.84
18,CN,Korla,41.76,86.15,73.99,73.99,62,74,5.01
19,BO,Riberalta,-10.98,-66.1,89.6,89.6,62,75,13.87
20,PT,Lata,40.16,-8.33,68.0,78.01,74,95,1.99
21,US,Saint Paul Harbor,57.79,-152.41,42.8,42.8,75,90,8.05
22,PH,Basco,20.45,121.97,81.57,81.57,86,17,16.58
23,US,Albany,42.6,-73.97,64.99,68.0,30,37,7.0
24,RU,Lavrentiya,65.58,-171.0,22.32,22.32,93,0,3.27
25,TO,Vaini,-21.2,-175.2,75.2,75.2,83,20,6.93
26,EC,Puerto Ayora,-0.74,-90.35,82.0,82.4,74,20,13.87
27,NZ,Bluff,-46.6,168.33,52.18,52.18,81,4,13.42
28,CA,Amos,48.57,-78.12,59.0,59.0,63,75,3.36
29,PT,Ponta do Sol,32.67,-17.1,64.99,71.6,64,20,12.75
30,AU,Busselton,-33.65,115.33,53.01,53.01,59,56,1.01
31,BR,Coromandel,-18.47,-47.2,74.84,74.84,47,2,4.81
32,US,‘Āhuimanu,21.44,-157.84,70.0,77.0,65,75,14.99
33,ZA,Cape Town,-33.93,18.42,62.01,64.99,88,75,11.41
34,RU,Plastun,44.76,136.29,56.86,56.86,64,100,7.83
35,RU,Sobolevo,54.43,31.9,55.58,55.58,80,66,12.01
36,CA,Torbay,47.67,-52.73,57.99,60.8,51,75,28.86
37,US,Lapeer,43.05,-83.32,68.0,69.8,49,75,14.99
